"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8234","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","10340","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","9856","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","6165","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5816","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5233","modo_offline_muestra_mensaje_sin_conexion","Modo Offline — tvnPass Android","2026-04-24","failed","2026-04-24","","","",""
"","7718","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","4997","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","7207","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","13007","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","19792","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","11874","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","1855","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5381","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","11518","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5659","modo_offline_app_no_crashea_sin_conexion","Modo Offline — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","11439","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","7941","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","6175","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","4973","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","7819","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","10497","modo_offline_recupera_al_restaurar_conexion","Modo Offline — tvnPass Android","2026-04-24","failed","2026-04-24","","","",""
