"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11970","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","13661","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","11894","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5617","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","20312","modo_offline_recupera_al_restaurar_conexion","Modo Offline — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","9121","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","14476","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","8537","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5386","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","8082","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","25146","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","8851","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","1490","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","10800","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5432","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","6356","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","81044","modo_offline_muestra_mensaje_sin_conexion","Modo Offline — tvnPass Android","2026-04-24","failed","2026-04-24","","","",""
"","19641","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","7735","modo_offline_app_no_crashea_sin_conexion","Modo Offline — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","10760","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","8981","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5807","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
